"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,11 Dec 2022 04:00:00 to 12 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
6310898,,AMPERSAND PINK GIN & W/BRY 4PK,,,,,21.990000000000002,
,,,,,,,,
,,10% Item Discount 4,,,,,-2.2,
,,,,,,,,
,,,,,,,,
,,-0.78  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6310946,,AMPERSAND PASSION 6% CAN 4PK,,,,,23.990000000000002,
,,,,,,,,
,,-0.94  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6310946,,AMPERSAND PASSION 6% CAN 4PK,,,,,23.990000000000002,
,,,,,,,,
,,-0.94  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6310950,,AMPERSAND WATERMLN 6% CAN 4PK,,,,,23.990000000000002,
,,,,,,,,
,,-0.94  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6310907,,AMPERSAND VODKA SODA 6% 4PK,,,,,23.990000000000002,
,,,,,,,,
,,-0.96  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
,,SKIRMISH/BSHOP,,,,,-19.51,
,,GST Subtotal,,,,,476.23,
,,,,,,,,
,,GST Amount,,,,,43.29,
,,,,,,,,
VOID,,,,,,,,
,,,,,,,,
6310949,,AMPERSAND PASSION 6% CAN CTN,,,,,84.99,
,,,,,,,,
VOID,,,,,,,,
,,,,,,,,
,,10% Item Discount 4,,,,,-40,
,,,,,,,,
,,EFTPOS,,,,,476.23,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-11 13:09:43,,,201.0,615790,TODD K,,,
,,,,,,,,
6311289,,CBCO BERTIE GINGER CAN 6PK,,,,,27.990000000000002,
,,,,,,,,
,,5% BSHOP L.LEGEND,,,,,-1.4000000000000001,
,,,,,,,,
6310898,,AMPERSAND PINK GIN & W/BRY 4PK,,,,,21.990000000000002,
,,,,,,,,
,,5% BSHOP L.LEGEND,,,,,-1.1,
,,,,,,,,
,,GST Subtotal,,,,,47.480000000000004,
,,,,,,,,
,,,,,,,,
,,GST Amount,,,,,4.32,
,,,,,,,,
,,EFTPOS,,,,,47.480000000000004,
,,,,,,,,
,,,,,,,,
2022-12-11 13:12:22,,,202.0,191590,TODD K,,,
,,,,,,,,
6310988,,CAPT MORGAN TROPICAL CAN 4PK,,,,,19.990000000000002,
,,,,,,,,
,,5% BSHOP L.LEGEND,,,,,-1,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,18.990000000000002,
,,,,,,,,
,,GST Amount,,,,,1.73,
,,,,,,,,
,,EFTPOS,,,,,18.990000000000002,
,,,,,,,,
,,,,,,,,
2022-12-11 13:13:53,,,202.0,191591,TODD K,,,
,,,,,,,,
6450024,,YALUMBA RSV SAV BLANC 2LT,,,,,15.99,
,,,,,,,,
8295,,-1.99  P43 1 FOR $14.00,,,,,,
,,,,,,,,
,,,,,,,,
8295,,P43 1 FOR $14.00,,,,,-1.99,
,,,,,,,,
,,GST Subtotal,,,,,14,
,,,,,,,,
,,GST Amount,,,,,1.27,
,,,,,,,,
,,EFTPOS,,,,,14,
,,,,,,,,
,,,,,,,,
2022-12-11 13:14:28,,,202.0,191592,TODD K,,,
,,,,,,,,
,,,,,,,,
6030074,,GREAT NTHN MID STUB 6PK,,,,,17.490000000000002,
,,,,,,,,
,,ROUNDING,,,,,0.01,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,17.490000000000002,
,,,,,,,,
,,GST Amount,,,,,1.59,
,,,,,,,,
